ID	Name	Definition	Synonyms	URI	is obsolete
BFO_0000001	entity			http://purl.obolibrary.org/obo/BFO_0000001	false
BFO_0000002	continuant	An entity  that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.	endurant	http://purl.obolibrary.org/obo/BFO_0000002	false
BFO_0000003	occurrent	An entity  that has temporal parts and that happens, unfolds or develops through time. Sometimes also called perdurants.	perdurant	http://purl.obolibrary.org/obo/BFO_0000003	false
BFO_0000004	independent continuant	A continuant  that is a bearer of quality  and realizable entity  entities, in which other entities inhere and which itself cannot inhere in anything.	substantial entity	http://purl.obolibrary.org/obo/BFO_0000004	false
BFO_0000005	dependent continuant	A continuant  that is either dependent on one or other independent continuant  bearers or inheres in or is borne by other entities.		http://purl.obolibrary.org/obo/BFO_0000005	false
BFO_0000007	process	A processual entity  that is a maximally connected spatiotemporal whole and has bona fide beginnings and endings corresponding to real discontinuities.		http://purl.obolibrary.org/obo/BFO_0000007	false
BFO_0000008	temporal region	An occurrent  that is part of time.		http://purl.obolibrary.org/obo/BFO_0000008	false
BFO_0000016	disposition	A realizable entity  that essentially causes a specific process or transformation in the object  in which it inheres, under specific circumstances and in conjunction with the laws of nature. A general formula for dispositions is: X (object  has the disposition D to (transform, initiate a process) R under conditions C.		http://purl.obolibrary.org/obo/BFO_0000016	false
BFO_0000017	realizable entity	A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.		http://purl.obolibrary.org/obo/BFO_0000017	false
BFO_0000019	quality	A specifically dependent continuant  that is exhibited if it inheres in an entity or entities at all (a categorical property).		http://purl.obolibrary.org/obo/BFO_0000019	false
BFO_0000020	specifically dependent continuant	A continuant  that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.	trope,property,mode	http://purl.obolibrary.org/obo/BFO_0000020	false
BFO_0000021	temporal instant	A connected temporal region  comprising a single moment of time.		http://purl.obolibrary.org/obo/BFO_0000021	false
BFO_0000022	connected temporal region	A temporal region  every point of which is mediately or immediately connected with every other point of which.		http://purl.obolibrary.org/obo/BFO_0000022	false
BFO_0000023	role	A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.		http://purl.obolibrary.org/obo/BFO_0000023	false
BFO_0000025	object boundary	An independent continuant  that is a lower dimensional part of a spatial entity, normally a closed two-dimensional surface. Boundaries are those privileged parts of object  entities that exist at exactly the point where the object  is separated off from the rest of the existing entities in the world.	substance boundary	http://purl.obolibrary.org/obo/BFO_0000025	false
BFO_0000029	site	An independent continuant  consisting of a characteristic spatial shape in relation to some arrangement of other continuant  entities and of the medium which is enclosed in whole or in part by this characteristic spatial shape. Site  entities are entities that can be occupied by other continuant  entities.		http://purl.obolibrary.org/obo/BFO_0000029	false
BFO_0000031	generically dependent continuant	A continuant  that is dependent on one or other independent continuant  bearers. For every instance of A requires some instance of (an independent continuant  type) B but which instance of B serves can change from time to time.		http://purl.obolibrary.org/obo/BFO_0000031	false
BFO_0000032	scattered temporal region	A temporal region  every point of which is not mediately or immediately connected with every other point of which.		http://purl.obolibrary.org/obo/BFO_0000032	false
BFO_0000034	function	A realizable entity  the manifestation of which is an essentially end-directed activity of a continuant  entity in virtue of that continuant  entity being a specific kind of entity in the kind or kinds of contexts that it is made for.		http://purl.obolibrary.org/obo/BFO_0000034	false
BFO_0000035	process boundary	A processual entity  that is the fiat or bona fide instantaneous temporal process boundary.		http://purl.obolibrary.org/obo/BFO_0000035	false
BFO_0000038	temporal interval	A connected temporal region  lasting for more than a single moment of time.		http://purl.obolibrary.org/obo/BFO_0000038	false
BFO_0000040	material entity	An independent continuant  that is spatially extended whose identity is independent of that of other entities and can be maintained through time.		http://purl.obolibrary.org/obo/BFO_0000040	false
BFO_0000050	is part of		part_of,part of	http://purl.obolibrary.org/obo/BFO_0000050	false
BFO_0000051	has part		has_part	http://purl.obolibrary.org/obo/BFO_0000051	false
BFO_0000052	inheres in		inheres_in	http://purl.obolibrary.org/obo/BFO_0000052	false
BFO_0000053	is bearer of		bearer of,bearer_of	http://purl.obolibrary.org/obo/BFO_0000053	false
BFO_0000054	is realized by		realized_by,realized by	http://purl.obolibrary.org/obo/BFO_0000054	false
BFO_0000055	realizes			http://purl.obolibrary.org/obo/BFO_0000055	false
BFO_0000056	participates in		participates_in	http://purl.obolibrary.org/obo/BFO_0000056	false
BFO_0000057	has participant		has_participant	http://purl.obolibrary.org/obo/BFO_0000057	false
BFO_0000058	is concretized as			http://purl.obolibrary.org/obo/BFO_0000058	false
BFO_0000059	concretizes			http://purl.obolibrary.org/obo/BFO_0000059	false
BFO_0000060	is immediately preceded by		immediately_preceded_by,immediately preceded by	http://purl.obolibrary.org/obo/BFO_0000060	false
BFO_0000061	immediately precedes		immediately_precedes	http://purl.obolibrary.org/obo/BFO_0000061	false
BFO_0000062	is preceded by		preceded_by,preceded by	http://purl.obolibrary.org/obo/BFO_0000062	false
BFO_0000063	precedes			http://purl.obolibrary.org/obo/BFO_0000063	false
BFO_0000064	is course of		course of,course_of	http://purl.obolibrary.org/obo/BFO_0000064	false
BFO_0000065	has course		has_course	http://purl.obolibrary.org/obo/BFO_0000065	false
BFO_0000066	occurs in		occurs_in	http://purl.obolibrary.org/obo/BFO_0000066	false
BFO_0000067	has site of		has_site_of	http://purl.obolibrary.org/obo/BFO_0000067	false
BFO_0000068	begins to exist during		begins_to_exist_during	http://purl.obolibrary.org/obo/BFO_0000068	false
BFO_0000069	ceases to exist during		ceases_to_exist_during	http://purl.obolibrary.org/obo/BFO_0000069	false
BFO_0000070	s depends on		s_depends_on	http://purl.obolibrary.org/obo/BFO_0000070	false
BFO_0000071	has granular part		has_granular_part	http://purl.obolibrary.org/obo/BFO_0000071	false
BFO_0000072	has granular process part		has_granular_process_part	http://purl.obolibrary.org/obo/BFO_0000072	false
BFO_0000073	is granular part of		granular part of,granular_part_of	http://purl.obolibrary.org/obo/BFO_0000073	false
BFO_0000074	is granular part of process		granular_part_of_process,granular part of process	http://purl.obolibrary.org/obo/BFO_0000074	false
BFO_0000075	is aggregate of		aggregate of,aggregate_of	http://purl.obolibrary.org/obo/BFO_0000075	false
BFO_0000076	is fiat part of		fiat part of,fiat_part_of	http://purl.obolibrary.org/obo/BFO_0000076	false
BFO_0000077	has participant beginning to exist		has_participant_beginning_to_exist	http://purl.obolibrary.org/obo/BFO_0000077	false
BFO_0000078	has participant ceasing to exist		has_participant_ceasing_to_exist	http://purl.obolibrary.org/obo/BFO_0000078	false
BFO_0000079	is function of		function of,function_of	http://purl.obolibrary.org/obo/BFO_0000079	false
BFO_0000080	is quality of		quality of,quality_of	http://purl.obolibrary.org/obo/BFO_0000080	false
BFO_0000081	is role of		role_of,role of	http://purl.obolibrary.org/obo/BFO_0000081	false
BFO_0000082	is located in		located_in,located in	http://purl.obolibrary.org/obo/BFO_0000082	false
BFO_0000083	is located at		located at,located_at	http://purl.obolibrary.org/obo/BFO_0000083	false
BFO_0000084	g depends on		g_depends_on	http://purl.obolibrary.org/obo/BFO_0000084	false
BFO_0000085	has function		has_function	http://purl.obolibrary.org/obo/BFO_0000085	false
BFO_0000086	has quality		has_quality	http://purl.obolibrary.org/obo/BFO_0000086	false
BFO_0000087	has role		has_role	http://purl.obolibrary.org/obo/BFO_0000087	false
BIOBANK_0000010	freezer shelf	A device that is part of a freezer and consists of a solid horizontal surface to keep material in the freezer on a flat surface aimming to prevent its movement.		http://purl.obolibrary.org/obo/BIOBANK_0000010	false
BIOBANK_0000011	discarding	A planned process that get rid of a material that is no longer useful or desirable.		http://purl.obolibrary.org/obo/BIOBANK_0000011	false
BIOBANK_0000012	human subject recuiter role	A worker role of recruiting human subject to partcipate clinical investigation in which data about human subject is collected. 		http://purl.obolibrary.org/obo/BIOBANK_0000012	false
BIOBANK_0000013	cryovial box	A device that contains cryovials		http://purl.obolibrary.org/obo/BIOBANK_0000013	false
BIOBANK_0000014	trash container	A container that is used to keep material that will not be used in the investigation.		http://purl.obolibrary.org/obo/BIOBANK_0000014	false
BIOBANK_0000015	freezer rack	A device that is part of a freezer for keeping material in the freezer in a defined position and prevented in its movement.		http://purl.obolibrary.org/obo/BIOBANK_0000015	false
