type	ID	Name	Definition	Synonyms	URI	is obsolete
class	BFO_0000001	entity			http://purl.obolibrary.org/obo/BFO_0000001	false
class	BFO_0000002	continuant	An entity  that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.	endurant	http://purl.obolibrary.org/obo/BFO_0000002	false
class	BFO_0000003	occurrent	An entity  that has temporal parts and that happens, unfolds or develops through time. Sometimes also called perdurants.	perdurant	http://purl.obolibrary.org/obo/BFO_0000003	false
class	BFO_0000004	independent continuant	A continuant  that is a bearer of quality  and realizable entity  entities, in which other entities inhere and which itself cannot inhere in anything.	substantial entity	http://purl.obolibrary.org/obo/BFO_0000004	false
class	BFO_0000005	dependent continuant	A continuant  that is either dependent on one or other independent continuant  bearers or inheres in or is borne by other entities.		http://purl.obolibrary.org/obo/BFO_0000005	false
class	BFO_0000007	process	A processual entity  that is a maximally connected spatiotemporal whole and has bona fide beginnings and endings corresponding to real discontinuities.		http://purl.obolibrary.org/obo/BFO_0000007	false
class	BFO_0000008	temporal region	An occurrent  that is part of time.		http://purl.obolibrary.org/obo/BFO_0000008	false
class	BFO_0000016	disposition	A realizable entity  that essentially causes a specific process or transformation in the object  in which it inheres, under specific circumstances and in conjunction with the laws of nature. A general formula for dispositions is: X (object  has the disposition D to (transform, initiate a process) R under conditions C.		http://purl.obolibrary.org/obo/BFO_0000016	false
class	BFO_0000017	realizable entity	A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.		http://purl.obolibrary.org/obo/BFO_0000017	false
class	BFO_0000019	quality	A specifically dependent continuant  that is exhibited if it inheres in an entity or entities at all (a categorical property).		http://purl.obolibrary.org/obo/BFO_0000019	false
class	BFO_0000020	specifically dependent continuant	A continuant  that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.	trope,property,mode	http://purl.obolibrary.org/obo/BFO_0000020	false
class	BFO_0000021	temporal instant	A connected temporal region  comprising a single moment of time.		http://purl.obolibrary.org/obo/BFO_0000021	false
class	BFO_0000022	connected temporal region	A temporal region  every point of which is mediately or immediately connected with every other point of which.		http://purl.obolibrary.org/obo/BFO_0000022	false
class	BFO_0000023	role	A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.		http://purl.obolibrary.org/obo/BFO_0000023	false
class	BFO_0000025	object boundary	An independent continuant  that is a lower dimensional part of a spatial entity, normally a closed two-dimensional surface. Boundaries are those privileged parts of object  entities that exist at exactly the point where the object  is separated off from the rest of the existing entities in the world.	substance boundary	http://purl.obolibrary.org/obo/BFO_0000025	false
class	BFO_0000029	site	An independent continuant  consisting of a characteristic spatial shape in relation to some arrangement of other continuant  entities and of the medium which is enclosed in whole or in part by this characteristic spatial shape. Site  entities are entities that can be occupied by other continuant  entities.		http://purl.obolibrary.org/obo/BFO_0000029	false
class	BFO_0000031	generically dependent continuant	A continuant  that is dependent on one or other independent continuant  bearers. For every instance of A requires some instance of (an independent continuant  type) B but which instance of B serves can change from time to time.		http://purl.obolibrary.org/obo/BFO_0000031	false
class	BFO_0000032	scattered temporal region	A temporal region  every point of which is not mediately or immediately connected with every other point of which.		http://purl.obolibrary.org/obo/BFO_0000032	false
class	BFO_0000034	function	A realizable entity  the manifestation of which is an essentially end-directed activity of a continuant  entity in virtue of that continuant  entity being a specific kind of entity in the kind or kinds of contexts that it is made for.		http://purl.obolibrary.org/obo/BFO_0000034	false
class	BFO_0000035	process boundary	A processual entity  that is the fiat or bona fide instantaneous temporal process boundary.		http://purl.obolibrary.org/obo/BFO_0000035	false
class	BFO_0000038	temporal interval	A connected temporal region  lasting for more than a single moment of time.		http://purl.obolibrary.org/obo/BFO_0000038	false
class	BFO_0000040	material entity	An independent continuant  that is spatially extended whose identity is independent of that of other entities and can be maintained through time.		http://purl.obolibrary.org/obo/BFO_0000040	false
object property	BFO_0000050	is part of		part_of,part of	http://purl.obolibrary.org/obo/BFO_0000050	false
object property	BFO_0000051	has part		has_part	http://purl.obolibrary.org/obo/BFO_0000051	false
object property	BFO_0000052	inheres in		inheres_in	http://purl.obolibrary.org/obo/BFO_0000052	false
object property	BFO_0000053	is bearer of		bearer of,bearer_of	http://purl.obolibrary.org/obo/BFO_0000053	false
object property	BFO_0000054	is realized by		realized_by,realized by	http://purl.obolibrary.org/obo/BFO_0000054	false
object property	BFO_0000055	realizes			http://purl.obolibrary.org/obo/BFO_0000055	false
object property	BFO_0000056	participates in		participates_in	http://purl.obolibrary.org/obo/BFO_0000056	false
object property	BFO_0000057	has participant		has_participant	http://purl.obolibrary.org/obo/BFO_0000057	false
object property	BFO_0000058	is concretized as			http://purl.obolibrary.org/obo/BFO_0000058	false
object property	BFO_0000059	concretizes			http://purl.obolibrary.org/obo/BFO_0000059	false
